sample,integrate_ns,proxies_ns,broadphase_ns,contacts_ns,solve_ns,pairs,contacts
0,5833,2459,2958,4458,354209,320,320
1,5750,2458,2834,4083,358000,320,320
2,5708,2458,2875,4334,356541,320,320
3,5750,2458,2834,4291,356459,320,320
4,5709,2458,2833,4375,356792,320,320
5,5666,2459,2833,4333,359292,320,320
6,5666,2459,2875,4333,355292,320,320
7,5792,2417,2833,4375,359542,320,320
8,5709,2458,2792,4125,359333,320,320
9,5791,2500,2875,4167,356583,320,320
10,5750,2458,2875,4292,354250,320,320
11,5792,2458,2792,4208,355375,320,320
12,5666,2500,2834,4291,367584,320,320
13,5750,2458,2833,4084,355666,320,320
14,5708,2459,2833,4333,354584,320,320
15,5833,2458,2792,4292,358791,320,320
16,5834,2416,2834,4333,356208,320,320
17,5792,2417,2833,4375,354375,320,320
18,5708,2459,2833,4375,353667,320,320
19,5708,2458,2834,4208,354042,320,320
20,5750,2459,2791,4250,354625,320,320
21,5750,2459,2833,4042,356083,320,320
22,5792,2458,2792,4208,354667,320,320
23,5709,2416,2834,4125,358958,320,320
24,5708,2417,2833,4208,358500,320,320
25,5750,2458,2834,3958,356000,320,320
26,5667,2416,2834,4166,354417,320,320
27,5708,2459,2833,4042,356291,320,320
28,5750,2459,2791,4167,358417,320,320
29,5667,2458,2834,4125,355125,320,320
30,5666,2459,2833,4208,352625,320,320
31,5708,2417,2875,4167,358000,320,320
32,5667,2417,2791,4209,358041,320,320
33,5750,2459,2833,4083,359167,320,320
34,5708,2459,2833,4125,353292,320,320
35,5750,2458,2792,4166,354584,320,320
36,5833,2417,2833,4167,355250,320,320
37,5709,2458,2833,4334,356583,320,320
38,5792,2458,2833,4125,355250,320,320
39,5709,2458,2833,4292,361708,320,320
40,5833,2459,2875,4458,371917,320,320
41,5958,2583,3000,4584,371791,320,320
42,5875,2584,3041,4459,375666,320,320
43,5875,2459,2958,4292,367250,320,320
44,5750,2459,2958,4250,358917,320,320
45,5667,2458,2792,4375,353167,320,320
46,5667,2458,2834,4208,354542,320,320
47,5709,2458,2958,4209,353958,320,320
48,5750,2458,2834,4375,356291,320,320
49,5708,2417,2917,4333,355083,320,320
50,5750,2459,2833,4125,355667,320,320
51,5750,2458,2792,4166,355834,320,320
52,5709,2458,2792,4208,356292,320,320
53,5750,2542,2792,4125,355000,320,320
54,5750,2416,2834,4166,359334,320,320
55,5750,2500,2833,4292,354541,320,320
56,5667,2458,2833,4417,358167,320,320
57,5833,2542,2791,4084,356083,320,320
58,5625,2458,2833,4334,354500,320,320
59,5709,2416,2875,4042,355875,320,320
60,5666,2500,2834,4333,355750,320,320
61,5750,2458,2875,4333,355834,320,320
62,5750,2458,2833,4417,355792,320,320
63,5750,2417,2833,4250,355584,320,320
64,5667,2458,2834,4250,355583,320,320
65,5708,2459,2833,4250,356750,320,320
66,5750,2500,2833,4083,358875,320,320
67,5750,2458,2834,4333,353458,320,320
68,5750,2459,2791,4292,355625,320,320
69,5708,2459,2833,4167,356208,320,320
70,5708,2417,2833,4125,355250,320,320
71,5709,2458,2792,4375,354625,320,320
72,5708,2458,2834,4166,357709,320,320
73,5709,2458,2833,4375,356209,320,320
74,5709,2458,2792,4250,355625,320,320
75,5708,2458,2834,4375,357416,320,320
76,5750,2459,2833,4083,356417,320,320
77,5666,2459,2833,4292,354708,320,320
78,5750,2416,2834,4291,354375,320,320
79,5708,2459,2833,4125,356417,320,320
80,5708,2458,2834,4333,355000,320,320
81,5792,2458,2792,4208,355042,320,320
82,5708,2458,2792,4333,356084,320,320
83,5791,2459,2791,4292,354083,320,320
84,5792,2458,2792,4125,353500,320,320
85,5667,2458,2834,4416,355000,320,320
86,5750,2417,2833,4292,354375,320,320
87,5709,2458,2792,4250,355208,320,320
88,5792,2458,2833,4417,355625,320,320
89,5750,2458,2792,4125,353583,320,320
90,5709,2416,2834,4125,356875,320,320
91,5750,2417,2833,4084,356000,320,320
92,5750,2459,2791,4250,357125,320,320
93,5792,2417,2875,4291,354750,320,320
94,5750,2500,2834,4458,355125,320,320
95,5750,2417,2833,4417,352458,320,320
96,5666,2542,2792,4333,356708,320,320
97,5750,2458,2792,4375,353750,320,320
98,5666,2459,2833,4375,359125,320,320
99,5792,2458,2792,4291,354250,320,320
100,5709,2458,2875,4208,359084,320,320
101,5750,2459,2791,4209,355166,320,320
102,5667,2416,2834,4500,353791,320,320
103,5667,2458,2792,4333,357125,320,320
104,5833,2500,2917,4292,354208,320,320
105,5750,2458,2834,4083,355333,320,320
106,5750,2417,2833,4292,354750,320,320
107,5833,2417,2833,4292,353458,320,320
108,5792,2458,2792,4208,358333,320,320
109,5667,2458,2833,4375,355500,320,320
110,5750,2459,2833,4292,354916,320,320
111,5750,2458,2834,4125,354291,320,320
112,5708,2459,2791,4292,353417,320,320
113,5750,2417,2833,4167,364917,320,320
114,5833,2417,2833,4292,356750,320,320
115,5750,2459,2833,4375,358500,320,320
116,5750,2417,2833,4125,354500,320,320
117,5750,2417,2833,4167,356750,320,320
118,5708,2458,2834,4250,357583,320,320
119,5750,2458,2792,4166,356500,320,320
120,5708,2459,2833,4333,357500,320,320
121,5667,2458,2833,4125,354667,320,320
122,5708,2458,2834,4250,354916,320,320
123,5750,2458,2792,4375,356333,320,320
124,5667,2500,2833,4292,355750,320,320
125,5709,2416,2834,4333,359417,320,320
126,5708,2458,2792,4167,357333,320,320
