case,run,sample,ns,pairs,contacts,compression_m,reserved_bytes
warm_1,0,0,118833,320,320,0.577173,628040
warm_1,0,1,117458,320,320,0.57775,628040
warm_1,0,2,118125,320,320,0.578254,628040
warm_1,0,3,116625,320,320,0.578689,628040
warm_1,0,4,118209,320,320,0.579062,628040
warm_1,0,5,116250,320,320,0.579382,628040
warm_1,0,6,116667,320,320,0.579659,628040
warm_1,0,7,117875,320,320,0.579901,628040
warm_1,0,8,116916,320,320,0.580119,628040
warm_1,0,9,115708,320,320,0.580325,628040
warm_1,0,10,117042,320,320,0.580528,628040
warm_1,0,11,116917,320,320,0.580739,628040
warm_1,0,12,116209,320,320,0.580969,628040
warm_1,0,13,117458,320,320,0.581225,628040
warm_1,0,14,117000,320,320,0.581517,628040
warm_1,0,15,117209,320,320,0.581852,628040
warm_1,0,16,116917,320,320,0.582235,628040
warm_1,0,17,116125,320,320,0.582671,628040
warm_1,0,18,117209,320,320,0.583163,628040
warm_1,0,19,117208,320,320,0.583711,628040
warm_1,0,20,118000,320,320,0.584315,628040
warm_1,0,21,116792,320,320,0.584975,628040
warm_1,0,22,117875,320,320,0.585688,628040
warm_1,0,23,116209,320,320,0.586448,628040
warm_1,0,24,117833,320,320,0.58725,628040
warm_1,0,25,115833,320,320,0.588089,628040
warm_1,0,26,116209,320,320,0.588957,628040
warm_1,0,27,117375,320,320,0.589846,628040
warm_1,0,28,116042,320,320,0.590748,628040
warm_1,0,29,116084,320,320,0.591655,628040
warm_1,0,30,116042,320,320,0.592559,628040
warm_1,0,31,117000,320,320,0.593451,628040
warm_1,0,32,117125,320,320,0.594324,628040
warm_1,0,33,117833,320,320,0.59517,628040
warm_1,0,34,117583,320,320,0.595984,628040
warm_1,0,35,116917,320,320,0.596758,628040
warm_1,0,36,117292,320,320,0.59749,628040
warm_1,0,37,117333,320,320,0.598176,628040
warm_1,0,38,116500,320,320,0.598814,628040
warm_1,0,39,117083,320,320,0.599402,628040
warm_1,0,40,116834,320,320,0.599941,628040
warm_1,0,41,117417,320,320,0.600432,628040
warm_1,0,42,111667,320,320,0.600878,628040
warm_1,0,43,108875,320,320,0.601281,628040
warm_1,0,44,109791,320,320,0.601646,628040
warm_1,0,45,109875,320,320,0.601977,628040
warm_1,0,46,108750,320,320,0.602282,628040
warm_1,0,47,109375,320,320,0.602564,628040
warm_1,0,48,108875,320,320,0.602831,628040
warm_1,0,49,110292,320,320,0.60309,628040
warm_1,0,50,110208,320,320,0.603348,628040
warm_1,0,51,109542,320,320,0.603609,628040
warm_1,0,52,109167,320,320,0.603881,628040
warm_1,0,53,109667,320,320,0.604169,628040
warm_1,0,54,109583,320,320,0.604478,628040
warm_1,0,55,110166,320,320,0.604812,628040
warm_1,0,56,109083,320,320,0.605174,628040
warm_1,0,57,109792,320,320,0.605568,628040
warm_1,0,58,109459,320,320,0.605995,628040
warm_1,0,59,110417,320,320,0.606457,628040
warm_1,0,60,109750,320,320,0.606952,628040
warm_1,0,61,110042,320,320,0.60748,628040
warm_1,0,62,108875,320,320,0.608039,628040
warm_1,0,63,108916,320,320,0.608627,628040
warm_1,0,64,109083,320,320,0.609241,628040
warm_1,0,65,109834,320,320,0.609876,628040
warm_1,0,66,109292,320,320,0.610527,628040
warm_1,0,67,109625,320,320,0.611192,628040
warm_1,0,68,109291,320,320,0.611864,628040
warm_1,0,69,109083,320,320,0.612538,628040
warm_1,0,70,108917,320,320,0.61321,628040
warm_1,0,71,110542,320,320,0.613873,628040
warm_1,0,72,109209,320,320,0.614525,628040
warm_1,0,73,109167,320,320,0.615159,628040
warm_1,0,74,110375,320,320,0.615773,628040
warm_1,0,75,110083,320,320,0.616363,628040
warm_1,0,76,109833,320,320,0.616925,628040
warm_1,0,77,109584,320,320,0.61746,628040
warm_1,0,78,109917,320,320,0.617965,628040
warm_1,0,79,109500,320,320,0.618439,628040
warm_1,0,80,110084,320,320,0.618882,628040
warm_1,0,81,110958,320,320,0.619296,628040
warm_1,0,82,109375,320,320,0.61968,628040
warm_1,0,83,109584,320,320,0.620039,628040
warm_1,0,84,110667,320,320,0.620374,628040
warm_1,0,85,109375,320,320,0.620688,628040
warm_1,0,86,110416,320,320,0.620985,628040
warm_1,0,87,109917,320,320,0.621268,628040
warm_1,0,88,109750,320,320,0.621542,628040
warm_1,0,89,109416,320,320,0.62181,628040
warm_1,0,90,109458,320,320,0.622076,628040
warm_1,0,91,109250,320,320,0.622344,628040
warm_1,0,92,110708,320,320,0.622618,628040
warm_1,0,93,109583,320,320,0.622901,628040
warm_1,0,94,109791,320,320,0.623197,628040
warm_1,0,95,110416,320,320,0.623507,628040
warm_1,0,96,110166,320,320,0.623834,628040
warm_1,0,97,104875,320,320,0.62418,628040
warm_1,0,98,105208,320,320,0.624545,628040
warm_1,0,99,104000,320,320,0.62493,628040
warm_1,0,100,104000,320,320,0.625336,628040
warm_1,0,101,103792,320,320,0.625761,628040
warm_1,0,102,103875,320,320,0.626204,628040
warm_1,0,103,103625,320,320,0.626665,628040
warm_1,0,104,104500,320,320,0.627141,628040
warm_1,0,105,103333,320,320,0.627629,628040
warm_1,0,106,104792,320,320,0.628128,628040
warm_1,0,107,104333,320,320,0.628633,628040
warm_1,0,108,103834,320,320,0.629143,628040
warm_1,0,109,104334,320,320,0.629653,628040
warm_1,0,110,103667,320,320,0.630161,628040
warm_1,0,111,103875,320,320,0.630665,628040
warm_1,0,112,104125,320,320,0.63116,628040
warm_1,0,113,104292,320,320,0.631644,628040
warm_1,0,114,104291,320,320,0.632115,628040
warm_1,0,115,104125,320,320,0.632571,628040
warm_1,0,116,104208,320,320,0.63301,628040
warm_1,0,117,104291,320,320,0.633431,628040
warm_1,0,118,104083,320,320,0.633834,628040
warm_1,0,119,104833,320,320,0.634217,628040
warm_1,0,120,104375,320,320,0.634582,628040
warm_1,0,121,104166,320,320,0.634928,628040
warm_1,0,122,104833,320,320,0.635256,628040
warm_1,0,123,104041,320,320,0.635568,628040
warm_1,0,124,104041,320,320,0.635864,628040
warm_1,0,125,104166,320,320,0.636147,628040
warm_1,0,126,104166,320,320,0.636419,628040
warm_1,0,127,103958,320,320,0.636683,628040
warm_1,0,128,104250,320,320,0.636941,628040
warm_1,0,129,103791,320,320,0.637194,628040
warm_1,0,130,104542,320,320,0.637445,628040
warm_1,0,131,104458,320,320,0.637698,628040
warm_1,0,132,104000,320,320,0.637955,628040
warm_1,0,133,104083,320,320,0.638215,628040
warm_1,0,134,104875,320,320,0.638483,628040
warm_1,0,135,104708,320,320,0.63876,628040
warm_1,0,136,104458,320,320,0.639047,628040
warm_1,0,137,103833,320,320,0.639344,628040
warm_1,0,138,104917,320,320,0.639653,628040
warm_1,0,139,103917,320,320,0.639974,628040
warm_1,0,140,103917,320,320,0.640306,628040
warm_1,0,141,104750,320,320,0.640651,628040
warm_1,0,142,103916,320,320,0.641006,628040
warm_1,0,143,104625,320,320,0.641371,628040
warm_1,0,144,104000,320,320,0.641745,628040
warm_1,0,145,104292,320,320,0.642125,628040
warm_1,0,146,105125,320,320,0.642511,628040
warm_1,0,147,105833,320,320,0.642902,628040
warm_1,0,148,105917,320,320,0.643295,628040
warm_1,0,149,105250,320,320,0.643688,628040
warm_1,0,150,104333,320,320,0.644079,628040
warm_1,0,151,104667,320,320,0.644466,628040
warm_1,0,152,104417,320,320,0.644848,628040
warm_1,0,153,101125,320,320,0.645224,628040
warm_1,0,154,101042,320,320,0.645591,628040
warm_1,0,155,99833,320,320,0.645947,628040
warm_1,0,156,99875,320,320,0.646294,628040
warm_1,0,157,100416,320,320,0.646629,628040
warm_1,0,158,99958,320,320,0.646953,628040
warm_1,0,159,99750,320,320,0.647264,628040
warm_1,0,160,99416,320,320,0.647563,628040
warm_1,0,161,99750,320,320,0.647851,628040
warm_1,0,162,99583,320,320,0.648128,628040
warm_1,0,163,99417,320,320,0.648394,628040
warm_1,0,164,99833,320,320,0.64865,628040
warm_1,0,165,100458,320,320,0.648899,628040
warm_1,0,166,101166,320,320,0.64914,628040
warm_1,0,167,99625,320,320,0.649376,628040
warm_1,0,168,99584,320,320,0.649607,628040
warm_1,0,169,99875,320,320,0.649835,628040
warm_1,0,170,99917,320,320,0.650062,628040
warm_1,0,171,99583,320,320,0.650289,628040
warm_1,0,172,98875,320,320,0.650517,628040
warm_1,0,173,100083,320,320,0.650749,628040
warm_1,0,174,99625,320,320,0.650984,628040
